TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N407AS,2012,BOEING                        ,737-990ER           ,2,222
N171US,2001,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N527AS,    ,BOEING                        ,737-890             ,2,149
N3730B,2000,BOEING                        ,737-832             ,2,189
N635NK,2014,AIRBUS                        ,A320-232            ,2,200
N584UW,2014,AIRBUS INDUSTRIE              ,A321-231            ,2,379
N826DN,2014,BOEING                        ,737-932ER           ,2,222
N958DN,1997,MCDONNELL DOUGLAS             ,MD-90-30            ,2,142
N547US,1996,BOEING                        ,757-251             ,2,178
N3751B,2001,BOEING                        ,737-832             ,2,189
N651DL,1989,BOEING                        ,757-232             ,2,178
N309AS,2001,BOEING                        ,737-990             ,2,149
N3743H,2001,BOEING                        ,737-832             ,2,189
N78448,2012,BOEING                        ,737-924ER           ,2,191
N413AS,2013,BOEING                        ,737-990ER           ,2,222
N806DN,2013,BOEING                        ,737-932ER           ,2,222
N525NK,2006,AIRBUS                        ,A319-132            ,2,179
N632NK,2014,AIRBUS                        ,A320-232            ,2,200
N671DN,1992,BOEING                        ,757-232             ,2,178
N76517,2008,BOEING                        ,737-824             ,2,149
N457AS,2014,BOEING                        ,737-990ER           ,2,222
N528NK,2007,AIRBUS                        ,A319-132            ,2,179
N629NK,2014,AIRBUS                        ,A320-232            ,2,200
N431AS,2013,BOEING                        ,737-990ER           ,2,222
N320US,1991,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N514NK,2006,AIRBUS                        ,A319-132            ,2,179
N389HA,    ,AIRBUS                        ,A330-243            ,2,377
N804AW,1999,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N76519,2009,BOEING                        ,737-824             ,2,149
N464AS,2014,BOEING                        ,737-990ER           ,2,222
N607JB,2005,AIRBUS                        ,A320-232            ,2,200
N633NK,2014,AIRBUS                        ,A320-232            ,2,200
N606NK,2011,AIRBUS                        ,A320-232            ,2,200
N514AS,2008,BOEING                        ,737-890             ,2,149
N630NK,2014,AIRBUS                        ,A320-232            ,2,200
N597JB,2004,AIRBUS                        ,A320-232            ,2,200
N172US,2001,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N303AS,2001,BOEING                        ,737-990             ,2,149
N653JB,2007,AIRBUS                        ,A320-232            ,2,200
N37293,2005,BOEING                        ,737-824             ,2,149
N239JB,2006,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N627JB,2005,AIRBUS                        ,A320-232            ,2,200
N307JB,2009,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N621JB,2005,AIRBUS                        ,A320-232            ,2,200
N317JB,2010,EMBRAER                       ,ERJ 190-100 IGW     ,2,20
N646JB,2006,AIRBUS                        ,A320-232            ,2,200
N197UW,2009,AIRBUS                        ,A321-211            ,2,199
N607AS,1999,BOEING                        ,737-790             ,2,151
N492HA,2004,BOEING                        ,717-200             ,2,100
N701BR,2000,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N476HA,2001,BOEING                        ,717-200             ,2,100
N423AS,2013,BOEING                        ,737-990ER           ,2,222
N484HA,2001,BOEING                        ,717-200             ,2,100
N30401,2001,BOEING                        ,737-924             ,2,191
N616NK,2012,AIRBUS                        ,A320-232            ,2,200
N8982A,2004,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N445SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N746SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N12142,2003,EMBRAER                       ,EMB-145XR           ,2,55
N174US,    ,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N355NW,1998,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N26545,2002,EMBRAER                       ,EMB-145LR           ,2,55
